FECHA;HORA;AUTOPISTA;BANDA y/o RAMAL;PK;CONDICIONES METEOROLÓGICAS;SUPERFICIE DE LA VIA;LESIONADOS;FALLECIDOS;TIPO DE SINIESTRO;MOTO;LVIANO;BUS;CAMION
1/1/2026;8;AU DELLEPIANE;DESCENDENTE;1500;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0
2/1/2026;1;AV. LUGONES;DESCENDENTE;10300;BUENO;DESLIZANTE;0;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
2/1/2026;9;AU DELLEPIANE;DESCENDENTE;2000;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
2/1/2026;14;AU ILLIA;ASCENDENTE;3700;BUENO;SECA;3;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
3/1/2026;15;AV. CANTILO;ASCENDENTE;9200;BUENO;SECA;1;0;OTRO;0;1;0;0
4/1/2026;2;AV. LUGONES;DESCENDENTE;10200;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;0;1;0;0
5/1/2026;9;AU PERITO MORENO;ASCENDENTE;4800;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
6/1/2026;17;AV. CANTILO;ASCENDENTE;7700;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
7/1/2026;6;AU 25 DE MAYO;ASCENDENTE;800;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0
7/1/2026;10;AU 25 DE MAYO;ASCENDENTE;800;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;1
7/1/2026;18;AU DELLEPIANE;ASCENDENTE;900;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0
