Definiciones;Descripción;;;;;
id_siniestro;Identificador unico del siniestro;;;;;
fecha_siniestro;Fecha en formato aaaa-mm-dd en la que sucedió el siniestro;;;;;
anio_siniestro;Año del siniestro;;;;;
modo_desplazamiento_victima;Vehículo que ocupaba quien haya fallecido o se haya lastimado a raíz del hecho, o bien peatón/a;;;;;
sexo_victima;Sexo de la víctima informado por fuente policial;;;;;
edad_victima;Edad de la víctima al momento del siniestro;;;;;
gravedad_victima;Nivel máximo conocido de gravedad de la lesión de la víctima del siniestro en función del tiempo de hospitalización;;;;;
rol_victima;Posición relativa al vehículo que presentaba la víctima en el momento del siniestro;;;;;
fecha_fallecimiento_victima;Fecha de fallecimiento de las víctimas mortales;;;;;
;;;;;;
;;;;;;
Variables;Valores;Descripción;;;;
modo_desplazamiento_victima;AUTO;Vehículo a motor destinado al transporte de personas, diferente de los motovehículos, y que tenga hasta nueve plazas (incluyendo al asiento del conductor) (Sedan, SUV, coupe, etc);;;;
;SD;Sin datos sobre el tipo de víctima;;;;
;PEATON;Víctima distinta de cualquier ocupante de un vehículo, ya sea un conductor/a o un pasajero/a. Se incluyen los ocupantes o personas que empujan o arrastran un coche de bebé o una silla de ruedas o cualquier otro vehículo sin motor de pequeñas dimensiones. Se incluyen también las personas que caminan empujando una bicicleta o un ciclomotor.;;;;
;MOTO;Vehículo a motor no carrozado que incluye motocicleta, ciclomotor y cuatriciclo.;;;;
;BICICLETA;Vehículo con al menos dos ruedas, que generalmente es accionado por el esfuerzo muscular de las personas que lo ocupan, en particular mediante pedales o manivelas. Incluye bicicletas de pedaleo asistido y/o con motor;;;;
;TRANSPORTE PUBLICO;Personas lesionadas que se encuentran dentro, descendiendo o ascendiendo de las unidades de autotrasporte público de pasajeros/as;;;;
;UTILITARIO;Vehículo a motor diseñado, exclusiva o principalmente, para el transporte de mercancías que posee una masa máxima autorizada de hasta 3.500kg, (utilitarios, furgonetas, pick-ups, UTILITARIO con caja de carga) ;;;;
;MOVIL;Vehículos de emergencia: móviles policiales, ambulancias, autobombas. ;;;;
;OTRO;Otros vehiculos.;;;;
;CAMION;Vehículo a motor diseñado, exclusiva o principalmente, para el transporte de mercancías que posee una masa máxima autorizada superior a 3.500kg, (con o sin acoplado o semirremolque, etc.), camión de recolección de residuos. ;;;;
;MONOPATIN;Dispositivo de movilidad personal, eléctrico o no;;;;
;TAXI;Automóvil de alquiler no sujeto a itinerario predeterminado, sin tarifa prefijada para el recorrido total, usado por ocupación total del vehículo, que no toma o deja pasajeros con boletos, billetes o pagos individuales.;;;;
;MIXTO;más de un tipo de usuario/a de la vía víctima;;;;
gravedad_victima;GRAVE;Toda persona que cuya lesión exige la hospitalización de al menos 24 hs o una atención especializada, como fracturas, conmoción, shock grave y laceraciones importantes.;;;;
;MORTAL;Víctima que fallece dentro de los 30 días de producido el siniestro vial por causas directa o indirectamente atribuibles al hecho.;;;;
;LEVE;Personas lesionadas que reciben el alta médica dentro de las 24hs siguientes al siniestro o hechos sin datos sobre la gravedad de las lesiones provocadas.;;;;
rol_victima;CONDUCTOR;Cualquier persona implicada en un siniestro vial con víctimas, que estuviera conduciendo un vehículo en el momento del hecho.;;;;
;PASAJERO;Toda persona que, sin ser conductor, se encuentra dentro o sobre un vehículo en el momento del siniestro vial, o es arrollada mientras está subiendo o bajando del vehículo.;;;;
;CICLISTA;Toda persona a bordo de una bicicleta al momento de ocurrido el siniestro.;;;;
;PEATON;Cualquier persona implicada en un hecho de tránsito con víctimas, distinta de un conductor, pasajero, o ciclista. Se incluyen los ocupantes o personas que empujan o arrastran un coche de bebé o una silla de ruedas o cualquier otro vehículo sin motor de pequeñas dimensiones. Se incluyen también las personas que caminan empujando una bicicleta, un ciclomotor.;;;;
;SD;Sin datos sobre el rol de la víctima;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
